TF-CL-Binding_IRI	TF-CL-Binding_Label	TF_IRI	TF_Label	CL_IRI	CL_Label
http://purl.obolibrary.org/obo/EGO_0000014686	ZBTB7A binding in HEK293-T-REx cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0037238	HEK293-T-REx
http://purl.obolibrary.org/obo/EGO_0000016168	ZBTB7A binding in MCF-7 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0007606	MCF-7
http://purl.obolibrary.org/obo/EGO_0000014060	ZBTB7A binding in H1-neurons cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0037299	H1-neurons
http://purl.obolibrary.org/obo/EGO_0000011156	ZBTB7A binding in GM18526 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0024847	GM18526
http://purl.obolibrary.org/obo/EGO_0000015380	ZBTB7A binding in SK-N-SH cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0009059	SK-N-SH
http://purl.obolibrary.org/obo/EGO_0000016249	ZBTB7A binding in SK-N-SH_RA cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0037234	SK-N-SH_RA
http://purl.obolibrary.org/obo/EGO_0000015381	ZBTB7A binding in GM12891 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0022859	GM12891
http://purl.obolibrary.org/obo/EGO_0000011167	ZBTB7A binding in HepG2 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0003704	HepG2
http://purl.obolibrary.org/obo/EGO_0000012855	ZBTB7A binding in HL-60 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0003775	HL-60
http://purl.obolibrary.org/obo/EGO_0000015692	ZBTB7A binding in NB4 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0007947	NB4
http://purl.obolibrary.org/obo/EGO_0000014494	ZBTB7A binding in MCF1A-Er-Src cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0037240	MCF1A-Er-Src
http://purl.obolibrary.org/obo/EGO_0000012181	ZBTB7A binding in HCT-116 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0003665	HCT-116
http://purl.obolibrary.org/obo/EGO_0000011413	ZBTB7A binding in ECC-1 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0037231	ECC-1
http://purl.obolibrary.org/obo/EGO_0000014473	ZBTB7A binding in SH-SY5Y cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0009015	SH-SY5Y
http://purl.obolibrary.org/obo/EGO_0000015386	ZBTB7A binding in PFSK-1 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0008425	PFSK-1
http://purl.obolibrary.org/obo/EGO_0000015717	ZBTB7A binding in NT2-D1 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0008207	NT2-D1
http://purl.obolibrary.org/obo/EGO_0000013969	ZBTB7A binding in T-47D cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0009251	T-47D
http://purl.obolibrary.org/obo/EGO_0000013552	ZBTB7A binding in GM19099 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0025875	GM19099
http://purl.obolibrary.org/obo/EGO_0000014881	ZBTB7A binding in PANC-1 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0008381	PANC-1
http://purl.obolibrary.org/obo/EGO_0000012537	ZBTB7A binding in H1-hESC cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0037281	H1-hESC
http://purl.obolibrary.org/obo/EGO_0000013342	ZBTB7A binding in A549 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0001601	A549
http://purl.obolibrary.org/obo/EGO_0000015648	ZBTB7A binding in SK-N-MC cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0009058	SK-N-MC
http://purl.obolibrary.org/obo/EGO_0000015118	ZBTB7A binding in K562 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0050126	K562
http://purl.obolibrary.org/obo/EGO_0000015903	ZBTB7A binding in GM18505 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0024913	GM18505
http://purl.obolibrary.org/obo/EGO_0000013032	ZBTB7A binding in IMR90 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0006951	IMR90
http://purl.obolibrary.org/obo/EGO_0000013208	ZBTB7A binding in U2OS cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0009454	U2OS
http://purl.obolibrary.org/obo/EGO_0000010878	ZBTB7A binding in HUVEC cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0004307	HUVEC
http://purl.obolibrary.org/obo/EGO_0000012362	ZBTB7A binding in PBDEFetal cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0037278	PBDEFetal
http://purl.obolibrary.org/obo/EGO_0000015110	ZBTB7A binding in GM12878 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0022851	GM12878
http://purl.obolibrary.org/obo/EGO_0000013536	ZBTB7A binding in GM18951 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0026303	GM18951
http://purl.obolibrary.org/obo/EGO_0000015498	ZBTB7A binding in GM08714 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0010422	GM08714
http://purl.obolibrary.org/obo/EGO_0000010388	ZBTB7A binding in HeLa-S3 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0003699	HeLa-S3
http://purl.obolibrary.org/obo/EGO_0000012152	ZBTB7A binding in HEK293 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0001230	HEK293
http://purl.obolibrary.org/obo/EGO_0000015870	ZBTB7A binding in U87 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0009464	U87
http://purl.obolibrary.org/obo/EGO_0000010464	ZBTB7A binding in GM12892 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0022856	GM12892
http://purl.obolibrary.org/obo/EGO_0000014013	ZBTB7A binding in GM15510 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0028068	GM15510
http://purl.obolibrary.org/obo/EGO_0000015710	ZBTB7A binding in PBDE cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0037277	PBDE
http://purl.obolibrary.org/obo/EGO_0000011106	ZBTB7A binding in Raji cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0008734	Raji
http://purl.obolibrary.org/obo/EGO_0000016806	ZBTB7A binding in GM10847 cell	http://purl.obolibrary.org/obo/PR_000017592	ZBTB7A	http://purl.obolibrary.org/obo/CLO_0023758	GM10847
http://purl.obolibrary.org/obo/EGO_0000012428	FOXA1 binding in K562 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0050126	K562
http://purl.obolibrary.org/obo/EGO_0000012604	FOXA1 binding in PBDEFetal cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0037278	PBDEFetal
http://purl.obolibrary.org/obo/EGO_0000010910	FOXA1 binding in GM12878 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0022851	GM12878
http://purl.obolibrary.org/obo/EGO_0000014376	FOXA1 binding in U2OS cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0009454	U2OS
http://purl.obolibrary.org/obo/EGO_0000014718	FOXA1 binding in HEK293 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0001230	HEK293
http://purl.obolibrary.org/obo/EGO_0000015600	FOXA1 binding in HL-60 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0003775	HL-60
http://purl.obolibrary.org/obo/EGO_0000016190	FOXA1 binding in GM18505 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0024913	GM18505
http://purl.obolibrary.org/obo/EGO_0000015142	FOXA1 binding in GM12891 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0022859	GM12891
http://purl.obolibrary.org/obo/EGO_0000013936	FOXA1 binding in HepG2 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0003704	HepG2
http://purl.obolibrary.org/obo/EGO_0000011232	FOXA1 binding in ECC-1 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0037231	ECC-1
http://purl.obolibrary.org/obo/EGO_0000012480	FOXA1 binding in HUVEC cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0004307	HUVEC
http://purl.obolibrary.org/obo/EGO_0000010239	FOXA1 binding in GM19193 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0027332	GM19193
http://purl.obolibrary.org/obo/EGO_0000014317	FOXA1 binding in PANC-1 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0008381	PANC-1
http://purl.obolibrary.org/obo/EGO_0000014145	FOXA1 binding in NB4 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0007947	NB4
http://purl.obolibrary.org/obo/EGO_0000011166	FOXA1 binding in GM12892 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0022856	GM12892
http://purl.obolibrary.org/obo/EGO_0000010181	FOXA1 binding in HeLa-S3 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0003699	HeLa-S3
http://purl.obolibrary.org/obo/EGO_0000014022	FOXA1 binding in GM18526 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0024847	GM18526
http://purl.obolibrary.org/obo/EGO_0000012068	FOXA1 binding in MCF1A-Er-Src cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0037240	MCF1A-Er-Src
http://purl.obolibrary.org/obo/EGO_0000011256	FOXA1 binding in SH-SY5Y cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0009015	SH-SY5Y
http://purl.obolibrary.org/obo/EGO_0000012507	FOXA1 binding in IMR90 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0006951	IMR90
http://purl.obolibrary.org/obo/EGO_0000010859	FOXA1 binding in SK-N-SH cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0009059	SK-N-SH
http://purl.obolibrary.org/obo/EGO_0000012787	FOXA1 binding in PFSK-1 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0008425	PFSK-1
http://purl.obolibrary.org/obo/EGO_0000013868	FOXA1 binding in H1-hESC cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0037281	H1-hESC
http://purl.obolibrary.org/obo/EGO_0000013905	FOXA1 binding in Raji cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0008734	Raji
http://purl.obolibrary.org/obo/EGO_0000012137	FOXA1 binding in T-47D cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0009251	T-47D
http://purl.obolibrary.org/obo/EGO_0000010489	FOXA1 binding in GM10847 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0023758	GM10847
http://purl.obolibrary.org/obo/EGO_0000015885	FOXA1 binding in GM19099 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0025875	GM19099
http://purl.obolibrary.org/obo/EGO_0000011179	FOXA1 binding in GM18951 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0026303	GM18951
http://purl.obolibrary.org/obo/EGO_0000012612	FOXA1 binding in A549 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0001601	A549
http://purl.obolibrary.org/obo/EGO_0000012841	FOXA1 binding in H1-neurons cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0037299	H1-neurons
http://purl.obolibrary.org/obo/EGO_0000011704	FOXA1 binding in NT2-D1 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0008207	NT2-D1
http://purl.obolibrary.org/obo/EGO_0000016872	FOXA1 binding in MCF-7 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0007606	MCF-7
http://purl.obolibrary.org/obo/EGO_0000014580	FOXA1 binding in HEK293-T-REx cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0037238	HEK293-T-REx
http://purl.obolibrary.org/obo/EGO_0000013277	FOXA1 binding in HCT-116 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0003665	HCT-116
http://purl.obolibrary.org/obo/EGO_0000014487	FOXA1 binding in SK-N-MC cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0009058	SK-N-MC
http://purl.obolibrary.org/obo/EGO_0000016393	FOXA1 binding in GM15510 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0028068	GM15510
http://purl.obolibrary.org/obo/EGO_0000011752	FOXA1 binding in SK-N-SH_RA cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0037234	SK-N-SH_RA
http://purl.obolibrary.org/obo/EGO_0000011190	FOXA1 binding in U87 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0009464	U87
http://purl.obolibrary.org/obo/EGO_0000011363	FOXA1 binding in GM08714 cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0010422	GM08714
http://purl.obolibrary.org/obo/EGO_0000015965	FOXA1 binding in PBDE cell	http://purl.obolibrary.org/obo/PR_000007602	FOXA1	http://purl.obolibrary.org/obo/CLO_0037277	PBDE
http://purl.obolibrary.org/obo/EGO_0000014106	Ini1 binding in H1-hESC cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0037281	H1-hESC
http://purl.obolibrary.org/obo/EGO_0000013560	Ini1 binding in SK-N-MC cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0009058	SK-N-MC
http://purl.obolibrary.org/obo/EGO_0000012895	Ini1 binding in GM10847 cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0023758	GM10847
http://purl.obolibrary.org/obo/EGO_0000010605	Ini1 binding in H1-neurons cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0037299	H1-neurons
http://purl.obolibrary.org/obo/EGO_0000010250	Ini1 binding in HeLa-S3 cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0003699	HeLa-S3
http://purl.obolibrary.org/obo/EGO_0000016755	Ini1 binding in ECC-1 cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0037231	ECC-1
http://purl.obolibrary.org/obo/EGO_0000016673	Ini1 binding in T-47D cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0009251	T-47D
http://purl.obolibrary.org/obo/EGO_0000015163	Ini1 binding in HCT-116 cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0003665	HCT-116
http://purl.obolibrary.org/obo/EGO_0000015792	Ini1 binding in SK-N-SH cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0009059	SK-N-SH
http://purl.obolibrary.org/obo/EGO_0000012040	Ini1 binding in GM18951 cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0026303	GM18951
http://purl.obolibrary.org/obo/EGO_0000013527	Ini1 binding in GM19193 cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0027332	GM19193
http://purl.obolibrary.org/obo/EGO_0000015571	Ini1 binding in MCF1A-Er-Src cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0037240	MCF1A-Er-Src
http://purl.obolibrary.org/obo/EGO_0000010559	Ini1 binding in HL-60 cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0003775	HL-60
http://purl.obolibrary.org/obo/EGO_0000011688	Ini1 binding in MCF-7 cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0007606	MCF-7
http://purl.obolibrary.org/obo/EGO_0000013246	Ini1 binding in PFSK-1 cell	http://purl.obolibrary.org/obo/PR_000015262	Ini1	http://purl.obolibrary.org/obo/CLO_0008425	PFSK-1
